orders,company_name,price_range,page,product_name
 Orders  (591),BDF Official Store,US $62.00 - 68.20,https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch 3G Phone Call SIM card Android 6.0 Quad Core CE WiFi FM 16GB Tablet Pc
 Orders  (274),CHUWI Russian Store,US $189.42 - 224.52,https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi10 Air tablet PC Windows10 Intel Cherry Quad Core 4GB RAM 64GB ROM 1 Tablet
 Orders  (21),China Tablet Store,US $71.39 - 92.39,https://www.aliexpress.com/category/200216607/tablet.html,perkbox 2019 Google Play Store Android 8.0 OS 10 inch tablet 4GB RAM 64GB ROM
 Orders  (28),Shop3583006 Store,US $71.28 - 194.70,https://www.aliexpress.com/category/200216607/tablet.html,FENGXIANG 2019 Google Play Android 8.0 OS inch tablet Octa Core 128GB Kids Tablets
 Orders  (3630),"SHENZHEN BDF TOUCH TECHNOLOGY CO.,LTD.",US $82.47 - 103.47,https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch Design 3G Phone Call Android 7.0 Quad Core 4G 32G Tablet pc WiFi
 Orders  (661),Mi France Store,US $162.99 - 218.99,https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi Pad 4 MiPad 4 OTG 660 Octa Core Tablets PC 1920x1200 kids Tablet Android
 Orders  (3402),CHUWI Official Store,US $189.70 - 201.56,https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Air MT6797 X23 10 Core Android 4GB RAM 64GB ROM 2560x1600 Display Tablet
 Orders  (7),"ShenZhen Yell-Cool Technology Co.,Ltd.",US $81.34 - 102.90,https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 2018 Double SIM 10 Octa core tablet pc 1280*800 10.1 inch tablet pcs 4G 32GB
 Orders  (510),Top Tablets Store,US $151.99 - 191.99,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 2019 10 inch tablet PC 3G 4G LTE Android 7.0 Octa Core 4GB RAM 64GB ROM WiFi
 Orders  (1359),Tablet Factory Store,US $74.48 - 94.57,https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO 2019 10 inch tablet PC Octa Core 4GB RAM 64GB ROM Android 7.0 WiFi Bluetooth
 Orders  (983),Android phone Tablets Store,US $64.16 - 77.96,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 10 Inch Tablet pc Android 6.0 Octa Core 4GB RAM 64GB ROM dual sim kids Tablets
 Order  (1),Shen Zhen Technology Wholesale Store,US $93.99 - 102.99,https://www.aliexpress.com/category/200216607/tablet.html,Glavey 3G Compatible 10.1 inch Windows 8.1tablet Intel Atom Z373T IPS HDMI Quad core
 Orders  (1510),CHUWI Official Store,US $219.84 - 266.13,https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Plus Deca Core Android 8.0 Tablet PC 2560x1600 Display 4GB RAM 64GB ROM
 Orders  (3854),Mi France Store,US $178.99 - 239.99,https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 OTG MiPad 4 8"" PC Snapdragon 660 Octa Core 1920x1200 Tablet Android"
 Orders  (48),"Shenzhen HongyangTechnology Co., Ltd.",US $64.60 - 74.61,https://www.aliexpress.com/category/200216607/tablet.html,idoshow 10 inch Tablet PC Ocat Core 4GB RAM 64GB ROM Android 4.4 GPS 5.0MP
 Orders  (40),mumu tablet Store,US $64.79 - 75.59,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 10 inch 3G Octa Core 4GB RAM 64GB ROM IPS 1280*800 dual sim cards Tablet
 Orders  (225),Android phone Tablets Store,US $73.03 - 87.99,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 2.5D Tempered Glass 10 inch Android 8.0 3G 4G LTE Tablet PC 4GB RAM 64GB ROM
 Orders  (510),CHUWI Official Store,US $150.69,https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Pro Android 8.0 4G LTE Tablet PC MT6797 X20 Deca Core 3GB RAM 32GB ROM
 Orders  (1989),Peakier tablets Store,US $74.60 - 93.32,https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO Android 7.0 10 inch tablet Octa Core 4GB RAM 64GB ROM Kids Tablets 10 10.1
 Orders  (1099),Mon Cheng Tablets Store,US $45.03 - 61.75,https://www.aliexpress.com/category/200216607/tablet.html,BDF 2018 7 Inch Android 6.0 Tablet Pc 3G Sim Phone Call 1024*600 Screen Quad Core
 Order  (1),Flash Drive Storage Device AE Store,US $174.99,https://www.aliexpress.com/category/200216607/tablet.html,Jumper Ezpad 7 2 in 1 Tablet PC 10.1 inch Windows 10 Home Version 4GB RAM 64GB
 Orders  (3),Bach Melody,US $69.98 - 80.76,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 2018 DHL Free 10 inch Tablet PC MTK8752 Octa Core 4GB RAM 64GB ROM Android 7.0
 Orders  (2373),Xiaomi Mi Store,US $302.99 - 358.99,https://www.aliexpress.com/category/200216607/tablet.html,Multi-language Xiaomi Mi 4 Plus 64GB/128GB Tablets 4 Snapdragon 1920x1200 Screen
 Orders  (288),Top Tablets Store,US $92.99 - 111.99,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 10 inch Tablet PC Octa Core 4GB RAM 64GB ROM 3G Bluetooth WiFi Android 8.0
 Orders  (125),"Shenzhen TopTab Technology Co.,Ltd",US $68.30 - 84.86,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL Google play 10 inch Tablet android 8.0 Octa Core kids Tablets 4GB RAM 64GB ROM
 Orders  (1890),"Shenzhen Skyline Technology Co.,Ltd ",US $80.36 - 102.50,https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch Phone Call Android 7.0 Quad Core 4G 32G Tablet Pc Built-in 3G
 Orders  (445),Tablet Factory Store,US $70.99 - 85.99,https://www.aliexpress.com/category/200216607/tablet.html,BEESITTO 2019 10 Inch Tablet PC 3G 4G LTE Octa Core 4GB RAM 64GB ROM Android 7.0
 Orders  (23),"Galavey Electronics Co, Ltd",US $38.99 - 43.19,https://www.aliexpress.com/category/200216607/tablet.html,Glavey 2018 phone call tablet pc 7 inch Intel R706 3G WCDMA Quad core Bluetooth Wifi
 Orders  (417),"Shenzhen HongyangTechnology Co., Ltd.",US $75.43 - 91.83,https://www.aliexpress.com/category/200216607/tablet.html,Noablecun 2019 10 inch Android 7.0 Octa Core 4GB RAM 64GB ROM 8 Cores Screen Tablets
 Orders  (4),WKS Store,US $76.09 - 130.45,https://www.aliexpress.com/category/200216607/tablet.html,WayWalkers 10 inch 3G/4G LTE tablet pc 10 core android 7.0 RAM 4GB ROM 64GB
 Orders  (27),"ShenZhen Yell-Cool Technology Co.,Ltd.",US $94.29 - 117.51,https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 10 inch T10 tablet PC Deca Core 3G 4G GPS Android 7.0 4GB 128gb/64gb Screen
 Orders  (4),Bach Melody,US $65.56 - 99.22,https://www.aliexpress.com/category/200216607/tablet.html,FULCOL Unlock 4G FDD LTE 10 inch Octa Core Android 7.0 4GB RAM 32GB ROM tablet
 Orders  (394),ALLDOCUBE Official Store,US $130.37 - 133.50,https://www.aliexpress.com/category/200216607/tablet.html,ALLDOCUBE M5S 10.1 inch 4G LTE 10 Core Android 8.0 Tablets PC 3GB RAM 32GB ROM
 Orders  (14),"MC Computer accessories Technology Co., Ltd.",US $120.59 - 133.99,https://www.aliexpress.com/category/200216607/tablet.html,Alldocube M8 MT6797X Helio Deca Core 8 inch Tablet PC Android 8.0 3GB RAM 32GB ROM
